word_chinese	word_english	test_option_1	test_option_2	test_option_3
副詞	adverb	adverb	aggregate	amiable
逆的;不利的	adverse	adverse	aggression	amicable
留意;提到	advert	advert	aging	ammunition
廣告商	advertiser	advertiser	agitate	amnesty
廣告業	advertising	advertising	agitation(n.) 	ample
適當的，可取的	advisable	advisable	agony	amplify
忠告的	advisory	advisory	agricultural	analogy
擁護者	advocate	advocate	AI	analytical
航空的	aerial	aerial	aide	anchor
宇宙	aerospace	aerospace	air-conditioner	anecdote
美學的	aesthetic	aesthetic	airlift	angler
美學	aesthetics	aesthetics	airtight	animate
有感情的	affectionate	affectionate	airway	animated
使隸屬於	affiliate	affiliate	aisle	annoyance
斷言	affirm	affirm	alarming	anonymous
使苦惱	afflict	afflict	algebra	Antarctic
餘波	aftermath	aftermath	alien	antenna
議程	agenda	agenda	alienate	anthem
加重(病情等)	aggravate	aggravate	allegation	antibiotic
總計	aggregate	aggregate	allege	antibody
侵犯	aggression	aggression	alleged	anticipate
老化	aging	aging	allergic	anticipation
攪亂(人心)	agitate	agitate	allergy	antique
攪動	agitation(n.) 	agitation(n.) 	alleviate	antonym
痛苦	agony	agony	alliance	anymore
農業的	agricultural	agricultural	allied	apartheid
阿拉伯聯盟	AI	AI	alligator	appall
助手	aide	aide	allocate	appalling
空調設備	air-conditioner	air-conditioner	alloy	apparatus
空運	airlift	airlift	ally	appendix
真空的	airtight	airtight	almond	applicable
空中航線	airway	airway	alter	appraisal
走道	aisle	aisle	alternate	appreciable
引起驚慌的	alarming	alarming	alternatively	apprehension
代數學	algebra	algebra	ambiguity	apprentice
外星人	alien	alien	ambiguous	approximate
疏離	alienate	alienate	ambush	apt
斷言，主張	allegation	allegation	amend	aptitude
斷言	allege	allege	amendment	arbitrary
聲稱的	alleged	alleged	amends	arc
過敏的	allergic	allergic	amiable	archaeology
過敏	allergy	allergy	amicable	architectural
減輕(痛苦等)	alleviate	alleviate	ammunition	archives
聯盟	alliance	alliance	amnesty	Arctic
同盟的	allied	allied	ample	arena
短吻鱷	alligator	alligator	amplify	armor
分派	allocate	allocate	analogy	armored
合金	alloy	alloy	analytical	arms
(使)結盟;同盟者	ally	ally	anchor	array
杏仁	almond	almond	anecdote	arrogant
變更	alter	alter	angler	artery
交替的	alternate	alternate	animate	articulate
交替地	alternatively	alternatively	animated	artifact
模擬兩可	ambiguity	ambiguity	annoyance	artillery
含糊的	ambiguous	ambiguous	anonymous	ascertain
伏兵;埋伏	ambush	ambush	Antarctic	ascribe
訂正	amend	amend	antenna	aspiration
修正草案	amendment	amendment	anthem	ass
賠償	amends	amends	antibiotic	assault
親切的	amiable	amiable	antibody	assert
親切的	amicable	amicable	anticipate	assess
軍需品	ammunition	ammunition	anticipation	assessment
大赦	amnesty	amnesty	antique	assignmen
寬敞的;充足的	ample	ample	antonym	assimilate
擴大	amplify	amplify	anymore	associated
類推	analogy	analogy	apartheid	assuming
分析的	analytical	analytical	appall	assumption
錨	anchor	anchor	appalling	assured
軼事	anecdote	anecdote	apparatus	asthma
沽名釣譽者	angler	angler	appendix	astray
有生氣的;賦與…以生命	animate	animate	applicable	astronomer
動畫的	animated	animated	appraisal	astronomy
煩惱	annoyance	annoyance	appreciable	asylum
匿名的	anonymous	anonymous	apprehension	athletics
南極(地帶)	Antarctic	Antarctic	apprentice	ATM
天線	antenna	antenna	approximate	atrocity
讚歌	anthem	anthem	apt	attached
抗生的	antibiotic	antibiotic	aptitude	attain
抗體	antibody	antibody	arbitrary	attempted
參與	anticipate	anticipate	arc	attendance
預期	anticipation	anticipation	archaeology	attendant
古董	antique	antique	architectural	attic
反義詞	antonym	antonym	archives	attorney
再	anymore	anymore	Arctic	attribute
種族隔離(政策)	apartheid	apartheid	arena	auction
嚇壞	appall	appall	armor	audit
嚇壞人的	appalling	appalling	armored	auditorium
器具	apparatus	apparatus	arms	authentic
附錄	appendix	appendix	array	authoritative
可適用的	applicable	applicable	arrogant	authorize
評價;估價	appraisal	appraisal	artery	auto
可估價的	appreciable	appreciable	articulate	autograph
理解(力)	apprehension	apprehension	artifact	automation
學徒	apprentice	apprentice	artillery	autonomous
接近	approximate	approximate	ascertain	autonomy
有…傾向的	apt	apt	ascribe	avail
才能	aptitude	aptitude	aspiration	avert
任性的	arbitrary	arbitrary	ass	aviary
弧	arc	arc	assault	aviation
考古學	archaeology	archaeology	assert	awe
建築上的	architectural	architectural	assess	awesome
檔案館[室]	archives	archives	assessment	awhile
北極的	Arctic	Arctic	assignmen	axis
活動場所	arena	arena	assimilate	bachelor
盔甲	armor	armor	associated	backbone
武裝著的	armored	armored	assuming	backing
武器	arms	arms	assumption	backpack
使…列隊	array	array	assured	badge
自大的	arrogant	arrogant	asthma	baffle
動脈	artery	artery	astray	bail
發音清晰的	articulate	articulate	astronomer	balanced
人工製品〔尤指原始工具〕	artifact	artifact	astronomy	ballot
大炮	artillery	artillery	asylum	bandit
查明	ascertain	ascertain	athletics	banking
把…歸於	ascribe	ascribe	ATM	bankruptcy
渴望	aspiration	aspiration	atrocity	banner
驢子	ass	ass	attached	banquet
攻擊	assault	assault	attain	barbarian
斷言	assert	assert	attempted	barbershop
確定(稅款、罰款、賠款的)數額	assess	assess	attendance	barefoot
(價格的)評定	assessment	assessment	attendant	barge
指定，委派	assignmen	assignmen	attic	barometer
同化	assimilate	assimilate	attorney	barrack
聯合的	associated	associated	attribute	barren
傲慢的	assuming	assuming	auction	barricade
假設	assumption	assumption	audit	bash
有保證的;狂妄的	assured	assured	auditorium	basically
氣喘(病)	asthma	asthma	authentic	basic
迷路	astray	astray	authoritative	bass
天文學家	astronomer	astronomer	authorize	bastard
天文學	astronomy	astronomy	auto	batch
收容所	asylum	asylum	autograph	battalion
體育(運動)	athletics	athletics	automation	batter
提款機	ATM	ATM	autonomous	battlefield
凶暴	atrocity	atrocity	autonomy	bazaar
附著的	attached	attached	avail	bearing
達到	attain	attain	avert	beaten
未遂的	attempted	attempted	aviary	beating
出席	attendance	attendance	aviation	beautify
隨行的	attendant	attendant	awe	beckon
樓頂間	attic	attic	awesome	beep
辯護律師	attorney	attorney	awhile	beforehand
把(某事)歸因於…	attribute	attribute	axis	behalf
拍賣	auction	auction	bachelor	belongings
查(帳)	audit	audit	backbone	beloved
講堂	auditorium	auditorium	backing	bent
確實的；有根據的	authentic	authentic	backpack	besiege
有權威的	authoritative	authoritative	badge	betray
授權	authorize	authorize	baffle	beverage
汽車	auto	auto	bail	beware
親筆，自署	autograph	autograph	balanced	bewilder
自動化	automation	automation	ballot	bias
自治的	autonomous	autonomous	bandit	bibliography
自治	autonomy	autonomy	banking	bilateral
有利於	avail	avail	bankruptcy	binding
避開	avert	avert	banner	binoculars
鳥舍	aviary	aviary	banquet	biochemistry
飛行	aviation	aviation	barbarian	biological
畏懼	awe	awe	barbershop	birdie
使人敬畏的	awesome	awesome	barefoot	bitch
片刻	awhile	awhile	barge	bizarre
軸	axis	axis	barometer	blacksmith
身漢	bachelor	bachelor	barrack	blade
骨氣	backbone	backbone	barren	bland
支援	backing	backing	barricade	blare
背包	backpack	backpack	bash	blast
徽章	badge	badge	basically	blaze
使受挫折	baffle	baffle	basic	bleach
保釋	bail	bail	bass	bleak
平衡的	balanced	balanced	bastard	blizzard
投票	ballot	ballot	batch	bloc
惡棍	bandit	bandit	battalion	blockade
銀行業	banking	banking	batter	blonde
破產	bankruptcy	bankruptcy	battlefield	blot
旗幟	banner	banner	bazaar	blues
宴會	banquet	banquet	bearing	blunder
野蠻人	barbarian	barbarian	beaten	blunt
理髮店	barbershop	barbershop	beating	blur
赤腳(的)	barefoot	barefoot	beautify	bob
駁船	barge	barge	beckon	bodily
氣壓計	barometer	barometer	beep	bodyguard
起哄	barrack	barrack	beforehand	bog
不會生育的;荒蕪的	barren	barren	behalf	boiling
路障	barricade	barricade	belongings	bolster
猛擊	bash	bash	beloved	bolt
基本地	basically	basically	bent	bombard
基本的	basic	basic	besiege	bomber
低音樂器	bass	bass	betray	bondage
雜種	bastard	bastard	beverage	bonus
一批	batch	batch	beware	booking
一大批物品	battalion	battalion	bewilder	boom
擊球員	batter	batter	bias	boost
戰場	battlefield	battlefield	bibliography	booth
廉價商店	bazaar	bazaar	bilateral	boredom
忍耐	bearing	bearing	binding	borough
被打擊的	beaten	beaten	binoculars	borrowing
打;心臟的跳動	beating	beating	biochemistry	bosom
美化	beautify	beautify	biological	botanical
召喚	beckon	beckon	birdie	botany
嘟嘟聲	beep	beep	bitch	boulevard
事先	beforehand	beforehand	bizarre	bound
代表某人	behalf	behalf	blacksmith	boundary
所有物	belongings	belongings	blade	bout
親愛的	beloved	beloved	bland	bowel
彎曲的	bent	bent	blare	bowler
包圍	besiege	besiege	blast	boxer
背叛	betray	betray	blaze	boxing
飲料	beverage	beverage	bleach	boyhood
當心	beware	beware	bleak	brace
使手足無措	bewilder	bewilder	blizzard	bracket
成見	bias	bias	bloc	braid
書目	bibliography	bibliography	blockade	brand-new
雙邊的	bilateral	bilateral	blonde	brassiere
有束縛力的	binding	binding	blot	breach
雙目的	binoculars	binoculars	blues	breadth
生化學	biochemistry	biochemistry	blunder	breakdown
生物學(上)的	biological	biological	blunt	break-in
小鳥	birdie	birdie	blur	breakthrough
母狗	bitch	bitch	bob	break-up
希奇古怪的	bizarre	bizarre	bodily	breeder
鐵匠	blacksmith	blacksmith	bodyguard	brew
葉片;刀片	blade	blade	bog	briefing
溫和的;不動感情的	bland	bland	boiling	briefly
咆哮	blare	blare	bolster	brigade
疾風	blast	blast	bolt	brink
火焰	blaze	blaze	bombard	brisk
漂白	bleach	bleach	bomber	brittle
荒涼的	bleak	bleak	bondage	broadcaster
雪暴	blizzard	blizzard	bonus	broadcasting
集團	bloc	bloc	booking	broaden
封鎖	blockade	blockade	boom	broadly
白膚金髮碧眼的	blonde	blonde	boost	brochure
墨漬;瑕疵	blot	blot	booth	broil
憂悶	blues	blues	boredom	broker
大錯	blunder	blunder	borough	bronze
不鋒利的	blunt	blunt	borrowing	brooch
一片模糊	blur	blur	bosom	brood
短髮	bob	bob	botanical	broth
有形的;肉體上	bodily	bodily	botany	brotherhood
保鑣	bodyguard	bodyguard	boulevard	brow
沼澤	bog	bog	bound	bruise
沸騰的	boiling	boiling	boundary	brute
墊;援助	bolster	bolster	bout	buck
螺栓	bolt	bolt	bowel	buckle
炮擊	bombard	bombard	bowler	buffer
轟炸機	bomber	bomber	boxer	build-up
束縛	bondage	bondage	boxing	bulge
紅利	bonus	bonus	boyhood	bulk
登記	booking	booking	brace	bulky
急速發展	boom	boom	bracket	bully
吹捧;促進	boost	boost	braid	bunker
攤子	booth	booth	brand-new	bureaucracy
無聊	boredom	boredom	brassiere	bureaucrat
一人[一家，一集團]操縱的政治團體	borough	borough	breach	burial
借用	borrowing	borrowing	breadth	burning
心胸	bosom	bosom	breakdown	bust
植物(學)的	botanical	botanical	break-in	bypass
植物學	botany	botany	breakthrough	byte
林蔭路	boulevard	boulevard	break-up	cactus
界限	bound	bound	breeder	caffeine
邊界	boundary	boundary	brew	calcium
一回	bout	bout	briefing	calculated
腸	bowel	bowel	briefly	calf
投球手	bowler	bowler	brigade	calligraphy
拳擊家	boxer	boxer	brink	calorie
拳擊	boxing	boxing	brisk	campaigner
少年期	boyhood	boyhood	brittle	cannon
支柱	brace	brace	broadcaster	capability
托架	bracket	bracket	broadcasting	capsule
編織物;髮辮	braid	braid	broaden	captive
嶄新的	brand-new	brand-new	broadly	captivity
胸罩	brassiere	brassiere	brochure	carbohydrate
違犯	breach	breach	broil	cardboard
寬度	breadth	breadth	broker	cardinal
崩潰	breakdown	breakdown	bronze	carefree
闖入	break-in	break-in	brooch	caress
突破	breakthrough	breakthrough	brood	caretaker
解散	break-up	break-up	broth	caring
飼養人	breeder	breeder	brotherhood	carnation
調(飲料)	brew	brew	brow	carnival
短暫的;簡短的	briefing	briefing	bruise	carol
簡短地	briefly	briefly	brute	carp
把…編成隊[組]	brigade	brigade	buck	carrier
瀕臨邊緣	brink	brink	buckle	cartel
輕快的;(天氣)清新的	brisk	brisk	buffer	carton
易碎的	brittle	brittle	build-up	cashier
廣播電臺	broadcaster	broadcaster	bulge	casino
廣播	broadcasting	broadcasting	bulk	caste(
加寬	broaden	broaden	bulky	catastrophe
概括地	broadly	broadly	bully	category
小冊子	brochure	brochure	bunker	cater
大聲爭吵	broil	broil	bureaucracy	catering
掮客	broker	broker	bureaucrat	cathedral
青銅	bronze	bronze	burial	caution
胸針	brooch	brooch	burning	cautious
孵出	brood	brood	bust	cavalry
肉汁	broth	broth	bypass	cavity
兄弟情誼	brotherhood	brotherhood	byte	ceasefire
眉毛	brow	brow	cactus	celebrated
瘀傷	bruise	bruise	caffeine	celebrity
可惡的東西	brute	brute	calcium	celery
元	buck	buck	calculated	cellar
帶扣	buckle	buckle	calf	cello
緩衝	buffer	buffer	calligraphy	cell-phone
裝配	build-up	build-up	calorie	Celsius
凸出	bulge	bulge	campaigner	cemetery
體積	bulk	bulk	cannon	census
龐大的	bulky	bulky	capability	centered
欺侮弱者的人	bully	bully	capsule	ceramic
貯槽	bunker	bunker	captive	certainty
官僚主義	bureaucracy	bureaucracy	captivity	certify
官僚主義者	bureaucrat	bureaucrat	carbohydrate	chairperson
埋葬	burial	burial	cardboard	challenged
燃燒的	burning	burning	cardinal	challenger
胸像	bust	bust	carefree	challenging
繞過	bypass	bypass	caress	champagne
二進位元組	byte	byte	caretaker	chant
仙人掌	cactus	cactus	caring	chaos
咖啡因	caffeine	caffeine	carnation	chapel
鈣	calcium	calcium	carnival	chapped
有計劃的	calculated	calculated	carol	characterize
小牛	calf	calf	carp	charcoal(
書法	calligraphy	calligraphy	carrier	chariot
卡(路里)	calorie	calorie	cartel	charitable
運動參加者	campaigner	campaigner	carton	charter
大炮	cannon	cannon	cashier	chartered
能力;容量	capability	capability	casino	chatter
膠囊	capsule	capsule	caste(	checkbook
被監禁了的	captive	captive	catastrophe	checked
俘虜	captivity	captivity	category	check-in
碳水化合物	carbohydrate	carbohydrate	cater	check-up
硬紙板	cardboard	cardboard	catering	chef
主要的;深紅色的	cardinal	cardinal	cathedral	chestnut
無憂無慮的	carefree	carefree	caution	chili
愛撫	caress	caress	cautious	chimpanzee
看管者	caretaker	caretaker	cavalry	chirp(
關心的	caring	caring	cavity	chisel
康乃馨	carnation	carnation	ceasefire	choir
狂歡	carnival	carnival	celebrated	cholesterol
頌歌	carol	carol	celebrity	chord
挑剔	carp	carp	celery	chronic
信差	carrier	carrier	cellar	chuck
挑戰書	cartel	cartel	cello	chuckle
紙板	carton	carton	cell-phone	chunk
出納員	cashier	cashier	Celsius	circuit
可跳舞賭博的夜總會	casino	casino	cemetery	circumference
世襲的)階級	caste(	caste(	census	cite
災禍	catastrophe	catastrophe	centered	civic
類別	category	category	ceramic	clam
供應酒菜	cater	cater	certainty	clamp
包辦宴席	catering	catering	certify	clan
大教堂	cathedral	cathedral	chairperson	clarity
小心	caution	caution	challenged	clasp
謹慎的	cautious	cautious	challenger	clause
騎兵隊	cavalry	cavalry	challenging	cleanse
腔	cavity	cavity	champagne	clean-up
停火	ceasefire	ceasefire	chant	clearance
有名的	celebrated	celebrated	chaos	clearing(
名人	celebrity	celebrity	chapel	clench
芹菜	celery	celery	chapped	clinch
地下煤窖	cellar	cellar	characterize	cling
大提琴	cello	cello	charcoal(	clinical
手機	cell-phone	cell-phone	chariot	clockwise
攝氏的	Celsius	Celsius	charitable	clone
墓地	cemetery	cemetery	charter	closed
人口[戶口，國情]普查	census	census	chartered	closure
位於中心的	centered	centered	chatter	clover
陶器的	ceramic	ceramic	checkbook	cluster
確定性	certainty	certainty	checked	clutch
證明	certify	certify	check-in	coalition
主席	chairperson	chairperson	check-up	coastal
受到質疑的	challenged	challenged	chef	coastline
挑戰者	challenger	challenger	chestnut	cocaine
挑戰的	challenging	challenging	chili	cockpit(
香檳	champagne	champagne	chimpanzee	cocoa
讚揚	chant	chant	chirp(	cocoon
混亂	chaos	chaos	chisel	coffin
小教堂	chapel	chapel	choir	coherent
龜裂的	chapped	chapped	cholesterol	coil
以…為特性	characterize	characterize	chord	coincide
木)炭	charcoal(	charcoal(	chronic	cola
〔美俚〕汽車	chariot	chariot	chuck	collaboration
慈善的	charitable	charitable	chuckle	collected
契據	charter	charter	chunk	collective
特許的	chartered	chartered	circuit	collector
瞎談	chatter	chatter	circumference	collide
支票簿	checkbook	checkbook	cite	collision
格子花的	checked	checked	civic	colloquial
登記住房	check-in	check-in	clam	colonel
檢查	check-up	check-up	clamp	colonial
主廚	chef	chef	clan	columnist
栗子	chestnut	chestnut	clarity	combat
乾辣椒	chili	chili	clasp	comeback
黑猩猩	chimpanzee	chimpanzee	clause	come-down
鳥的)啁啾聲	chirp(	chirp(	cleanse	comet
鑿子	chisel	chisel	clean-up	comma
合唱團	choir	choir	clearance	commemorate
膽固醇	cholesterol	cholesterol	clearing(	commence
和絃	chord	chord	clench	commend
慢性的	chronic	chronic	clinch	commentary
嘔出	chuck	chuck	cling	commentator
嘻嘻輕笑聲	chuckle	chuckle	clinical	commissioner
大塊	chunk	chunk	clockwise	commodity
電路	circuit	circuit	clone	commonplace
圓周	circumference	circumference	closed	commonwealth(
引用	cite	cite	closure	communal
公民的	civic	civic	clover	communicative
蛤	clam	clam	cluster	communism
鉗，夾子	clamp	clamp	clutch	commute
黨派，小集團	clan	clan	coalition	commuter
明瞭；明確	clarity	clarity	coastal	compact
扣緊	clasp	clasp	coastline	companionship
條款	clause	clause	cocaine	comparable
把…弄清潔	cleanse	cleanse	cockpit(	compartment(
清掃	clean-up	clean-up	cocoa	compass
清除	clearance	clearance	cocoon	compassion
森林中的)開闢地	clearing(	clearing(	coffin	compassionate
握緊(拳頭)；咬緊(牙關)	clench	clench	coherent	compatible
熱烈擁抱	clinch	clinch	coil	compel
依附	cling	cling	coincide	compelling
診所的	clinical	clinical	cola	compensate
順時針方向轉動的	clockwise	clockwise	collaboration	compensation
複製品	clone	clone	collected	competence
封閉著的	closed	closed	collective	competent
關閉，停業	closure	closure	collector	competing
三葉草	clover	clover	collide	compile
叢	cluster	cluster	collision	complement
抓住	clutch	clutch	colloquial	complexion
合併	coalition	coalition	colonel	complexity
沿岸的	coastal	coastal	colonial	complication
海岸線	coastline	coastline	columnist	comply
古柯鹼	cocaine	cocaine	combat	component
飛機上的)座艙	cockpit(	cockpit(	comeback	composite
可可粉	cocoa	cocoa	come-down	comprehend
繭	cocoon	cocoon	comet	comprehensive
棺材	coffin	coffin	comma	compress
緊密地結合著的	coherent	coherent	commemorate	comprise
盤繞;(一)卷	coil	coil	commence	compromise
與…一致	coincide	coincide	commend	compulsory
可樂	cola	cola	commentary	computerize
合作	collaboration	collaboration	commentator	computing
鎮定的	collected	collected	commissioner	comrade
集體的	collective	collective	commodity	con
採集者	collector	collector	commonplace	concede
衝突	collide	collide	commonwealth(	conceit
碰撞	collision	collision	communal	conceive
口語的	colloquial	colloquial	communicative	concentrated
上校	colonel	colonel	communism	conception
殖民(地)的	colonial	colonial	commute	concerned
專欄作家	columnist	columnist	commuter	concession
搏鬥	combat	combat	compact	concise
轉好;重整旗鼓	comeback	comeback	companionship	condemn
沒落	come-down	come-down	comparable	condemnation
彗星	comet	comet	compartment(	condense
逗號	comma	comma	compass	condom
紀念	commemorate	commemorate	compassion	confederation(
著手	commence	commence	compassionate	confer
褒獎;推舉	commend	commend	compatible	confession
評論	commentary	commentary	compel	confidential
時事評論員	commentator	commentator	compelling	configuration
專員(某些地方或機構的)長官	commissioner	commissioner	compensate	confined
日用品	commodity	commodity	compensation	conform
平凡的；陳腐的	commonplace	commonplace	competence	confusing
尤指)共和國	commonwealth(	commonwealth(	competent	congressional
群居的	communal	communal	competing	congressman
藏不住話的	communicative	communicative	compile	connected
共產主義	communism	communism	complement	conquest
通勤	commute	commute	complexion	conscientious
通勤者	commuter	commuter	complexity	consciousness
緊密的;隨身攜帶的粉盒	compact	compact	complication	consecutive
同伴情誼	companionship	companionship	comply	consensus(
可相比的	comparable	comparable	component	consent
小)室	compartment(	compartment(	composite	conservation
羅盤	compass	compass	comprehend	conserve
憐憫	compassion	compassion	comprehensive	considering
富於同情心的	compassionate	compassionate	compress	consolation
相容的	compatible	compatible	comprise	console
強迫	compel	compel	compromise	consolidate
強制性的	compelling	compelling	compulsory	consortium
賠償	compensate	compensate	computerize	conspicuous
賠償金	compensation	compensation	computing	conspiracy
能力	competence	competence	comrade	constable
有能力的	competent	competent	con	constituency
競爭的	competing	competing	concede	constituent
編輯	compile	compile	conceit	constitutional
補充	complement	complement	conceive	constrain
膚色	complexion	complexion	concentrated	constraint
複雜性	complexity	complexity	conception	consultation
錯雜	complication	complication	concerned	consuming
應允	comply	comply	concession	consumption
組成部分	component	component	concise	contagious
合成物	composite	composite	condemn	contaminant
瞭解	comprehend	comprehend	condemnation	contaminate
有理解力的	comprehensive	comprehensive	condense	contemplate
壓縮	compress	compress	condom	contemplation
由…組成	comprise	comprise	confederation(	contempt
妥協	compromise	compromise	confer	contend
強迫的	compulsory	compulsory	confession	contender
電腦化	computerize	computerize	confidential	contention
計算	computing	computing	configuration	contentment
同志；夥伴	comrade	comrade	confined	contestant
囚犯(＝convict)	con	con	conform	contingent
讓與	concede	concede	confusing	continuity
自負	conceit	conceit	congressional	contractor
懷(胎);抱有(思想)	conceive	conceive	congressman	contradict
聚精會神的	concentrated	concentrated	connected	contradiction
受孕;概念	conception	conception	conquest	contradictory
憂慮的;有關的	concerned	concerned	conscientious	contributor
讓步	concession	concession	consciousness	contrive
簡明扼要的	concise	concise	consecutive	controller
譴責	condemn	condemn	consensus(	controversial(
非難的理由	condemnation	condemnation	consent	controversy
濃縮	condense	condense	conservation	convene
保險套	condom	condom	conserve	converge
特指)邦聯	confederation(	confederation(	considering	conversely
授與;協商	confer	confer	consolation	conversion
坦白	confession	confession	console	convert
機密的	confidential	confidential	consolidate	convertible
配置;結構	configuration	configuration	consortium	convict
被禁閉著的	confined	confined	conspicuous	conviction
遵照	conform	conform	conspiracy	convinced
令人混淆的	confusing	confusing	constable	convincing
委員會的	congressional	congressional	constituency	convoy
國會議員	congressman	congressman	constituent	co-operation
連接的；聯繫著的；連續[貫]的	connected	connected	constitutional	co-ordinate
征服	conquest	conquest	constrain	cop
有良心的	conscientious	conscientious	constraint	copyright
知覺	consciousness	consciousness	consultation	coral
連貫的	consecutive	consecutive	consuming	cordial
意見等的)一致	consensus(	consensus(	consumption	cordially
同意	consent	consent	contagious	core
保存	conservation	conservation	contaminant	cork
保存	conserve	conserve	contaminate	corp
就…而論	considering	considering	contemplate	corporation
安慰	consolation	consolation	contemplation	corporate
控制台	console	console	contempt	corps
鞏固	consolidate	consolidate	contend	corpse
共同體	consortium	consortium	contender	correction
顯著的	conspicuous	conspicuous	contention	correlate
共謀	conspiracy	conspiracy	contentment	correspondence
警察	constable	constable	contestant	correspondent
選民	constituency	constituency	contingent	corresponding
構成的	constituent	constituent	continuity	corrode
構成	constitutional	constitutional	contractor	corrupt
強迫;束縛	constrain	constrain	contradict	corruption
約束	constraint	constraint	contradiction	cosmetic
協商，評議	consultation	consultation	contradictory	comic
消費的	consuming	consuming	contributor	cosmopolitan
消費	consumption	consumption	contrive	costing
傳染性的	contagious	contagious	controller	councilor
污染物	contaminant	contaminant	controversial(	counsel
污染	contaminate	contaminate	controversy	counseling
熟思	contemplate	contemplate	convene	counselor
沉思	contemplation	contemplation	converge	countable
輕蔑	contempt	contempt	conversely	counterclockwise
鬥爭	contend	contend	conversion	counterpart
鬥爭者	contender	contender	convert	countless
鬥爭	contention	contention	convertible	coup
滿意	contentment	contentment	convict	coupon
參賽者	contestant	contestant	conviction	courier
因情況而異的	contingent	contingent	convinced	courtyard
連續(性)	continuity	continuity	convincing	coverage
承包人	contractor	contractor	convoy	covering
抗辯;與…矛盾	contradict	contradict	co-operation	covet
反駁	contradiction	contradiction	co-ordinate	cowardly
矛盾的	contradictory	contradictory	cop	cozy
貢獻者	contributor	contributor	copyright	crackdown
設計;設法做到	contrive	contrive	coral	cracker
管理人	controller	controller	cordial	cramp
有)爭論的	controversial(	controversial(	cordially	crap
爭論	controversy	controversy	core	crater
聚集	convene	convene	cork	creak
會聚	converge	converge	corp	creativity
逆(轉)地	conversely	conversely	corporation	creator
轉換	conversion	conversion	corporate	credibility
轉化(v.)	convert	convert	corps	credible
可轉換的	convertible	convertible	corpse	creditor
定…的罪	convict	convict	correction	creek
定罪	conviction	conviction	correlate	crib
被說服的	convinced	convinced	correspondence	criterion(
使人信服的	convincing	convincing	correspondent	crocodile
護送	convoy	convoy	corresponding	crook
合作	co-operation	co-operation	corrode	crooked
對等的	co-ordinate	co-ordinate	corrupt	cross-country
〔俚語〕警察	cop	cop	corruption	crossing
著作權	copyright	copyright	cosmetic	crouch
珊瑚	coral	coral	comic	crucial
懇摯的	cordial	cordial	cosmopolitan	crude
懇摯地	cordially	cordially	costing	cruise
核心	core	core	councilor	cruiser
軟木塞	cork	cork	counsel	crumb
公司	corp	corp	counseling	crumble
公司	corporation	corporation	counselor	crunch
