Id,word_chinese,word_english,test_option_1,test_option_2,test_option_3
114,含糊的,ambiguous,ambiguous,anonymous,ascertain
115,伏兵;埋伏,ambush,ambush,Antarctic,ascribe
116,訂正,amend,amend,antenna,aspiration
117,修正草案,amendment,amendment,anthem,ass
118,賠償,amends,amends,antibiotic,assault
119,親切的,amiable,amiable,antibody,assert
120,親切的,amicable,amicable,anticipate,assess
121,軍需品,ammunition,ammunition,anticipation,assessment
122,大赦,amnesty,amnesty,antique,assignmen
123,寬敞的;充足的,ample,ample,antonym,assimilate
124,擴大,amplify,amplify,anymore,associated
125,類推,analogy,analogy,apartheid,assuming
126,分析的,analytical,analytical,appall,assumption
127,錨,anchor,anchor,appalling,assured
128,軼事,anecdote,anecdote,apparatus,asthma
129,沽名釣譽者,angler,angler,appendix,astray
130,有生氣的;賦與…以生命,animate,animate,applicable,astronomer
131,動畫的,animated,animated,appraisal,astronomy
132,煩惱,annoyance,annoyance,appreciable,asylum
133,匿名的,anonymous,anonymous,apprehension,athletics
134,南極(地帶),Antarctic,Antarctic,apprentice,ATM
135,天線,antenna,antenna,approximate,atrocity
136,讚歌,anthem,anthem,apt,attached
137,抗生的,antibiotic,antibiotic,aptitude,attain
138,抗體,antibody,antibody,arbitrary,attempted
139,參與,anticipate,anticipate,arc,attendance
140,預期,anticipation,anticipation,archaeology,attendant
141,古董,antique,antique,architectural,attic
142,反義詞,antonym,antonym,archives,attorney
143,再,anymore,anymore,Arctic,attribute
144,種族隔離(政策),apartheid,apartheid,arena,auction
145,嚇壞,appall,appall,armor,audit
146,嚇壞人的,appalling,appalling,armored,auditorium
147,器具,apparatus,apparatus,arms,authentic
148,附錄,appendix,appendix,array,authoritative
149,可適用的,applicable,applicable,arrogant,authorize
150,評價;估價,appraisal,appraisal,artery,auto
151,可估價的,appreciable,appreciable,articulate,autograph
152,理解(力),apprehension,apprehension,artifact,automation
153,學徒,apprentice,apprentice,artillery,autonomous
154,接近,approximate,approximate,ascertain,autonomy
155,有…傾向的,apt,apt,ascribe,avail
156,才能,aptitude,aptitude,aspiration,avert
157,任性的,arbitrary,arbitrary,ass,aviary
158,弧,arc,arc,assault,aviation
159,考古學,archaeology,archaeology,assert,awe
160,建築上的,architectural,architectural,assess,awesome
161,檔案館[室],archives,archives,assessment,awhile
162,北極的,Arctic,Arctic,assignmen,axis
163,活動場所,arena,arena,assimilate,bachelor
164,盔甲,armor,armor,associated,backbone
165,武裝著的,armored,armored,assuming,backing
166,武器,arms,arms,assumption,backpack
167,使…列隊,array,array,assured,badge
168,自大的,arrogant,arrogant,asthma,baffle
169,動脈,artery,artery,astray,bail
170,發音清晰的,articulate,articulate,astronomer,balanced
171,人工製品〔尤指原始工具〕,artifact,artifact,astronomy,ballot
172,大炮,artillery,artillery,asylum,bandit
173,查明,ascertain,ascertain,athletics,banking
174,把…歸於,ascribe,ascribe,ATM,bankruptcy
175,渴望,aspiration,aspiration,atrocity,banner
176,驢子,ass,ass,attached,banquet
177,攻擊,assault,assault,attain,barbarian
178,斷言,assert,assert,attempted,barbershop
179,確定(稅款、罰款、賠款的)數額,assess,assess,attendance,barefoot
180,(價格的)評定,assessment,assessment,attendant,barge
181,指定，委派,assignmen,assignmen,attic,barometer
182,同化,assimilate,assimilate,attorney,barrack
183,聯合的,associated,associated,attribute,barren
184,傲慢的,assuming,assuming,auction,barricade
185,假設,assumption,assumption,audit,bash
186,有保證的;狂妄的,assured,assured,auditorium,basically
187,氣喘(病),asthma,asthma,authentic,basic
188,迷路,astray,astray,authoritative,bass
189,天文學家,astronomer,astronomer,authorize,bastard
190,天文學,astronomy,astronomy,auto,batch
191,收容所,asylum,asylum,autograph,battalion
192,體育(運動),athletics,athletics,automation,batter
193,提款機,ATM,ATM,autonomous,battlefield
194,凶暴,atrocity,atrocity,autonomy,bazaar
195,附著的,attached,attached,avail,bearing
196,達到,attain,attain,avert,beaten
197,未遂的,attempted,attempted,aviary,beating
198,出席,attendance,attendance,aviation,beautify
199,隨行的,attendant,attendant,awe,beckon
200,樓頂間,attic,attic,awesome,beep
201,辯護律師,attorney,attorney,awhile,beforehand
202,把(某事)歸因於…,attribute,attribute,axis,behalf
203,拍賣,auction,auction,bachelor,belongings
204,查(帳),audit,audit,backbone,beloved
205,講堂,auditorium,auditorium,backing,bent
206,確實的；有根據的,authentic,authentic,backpack,besiege
207,有權威的,authoritative,authoritative,badge,betray
208,授權,authorize,authorize,baffle,beverage
209,汽車,auto,auto,bail,beware
210,親筆，自署,autograph,autograph,balanced,bewilder
211,自動化,automation,automation,ballot,bias
212,自治的,autonomous,autonomous,bandit,bibliography
213,自治,autonomy,autonomy,banking,bilateral
214,有利於,avail,avail,bankruptcy,binding
215,避開,avert,avert,banner,binoculars
216,鳥舍,aviary,aviary,banquet,biochemistry
217,飛行,aviation,aviation,barbarian,biological
218,畏懼,awe,awe,barbershop,birdie
219,使人敬畏的,awesome,awesome,barefoot,bitch
220,片刻,awhile,awhile,barge,bizarre
221,軸,axis,axis,barometer,blacksmith
222,身漢,bachelor,bachelor,barrack,blade
223,骨氣,backbone,backbone,barren,bland
224,支援,backing,backing,barricade,blare
225,背包,backpack,backpack,bash,blast
226,徽章,badge,badge,basically,blaze
227,使受挫折,baffle,baffle,basic,bleach
228,保釋,bail,bail,bass,bleak
229,平衡的,balanced,balanced,bastard,blizzard
230,投票,ballot,ballot,batch,bloc
231,惡棍,bandit,bandit,battalion,blockade
232,銀行業,banking,banking,batter,blonde
233,破產,bankruptcy,bankruptcy,battlefield,blot
234,旗幟,banner,banner,bazaar,blues
235,宴會,banquet,banquet,bearing,blunder
236,野蠻人,barbarian,barbarian,beaten,blunt
237,理髮店,barbershop,barbershop,beating,blur
238,赤腳(的),barefoot,barefoot,beautify,bob
239,駁船,barge,barge,beckon,bodily
240,氣壓計,barometer,barometer,beep,bodyguard
241,起哄,barrack,barrack,beforehand,bog
242,不會生育的;荒蕪的,barren,barren,behalf,boiling
243,路障,barricade,barricade,belongings,bolster
244,猛擊,bash,bash,beloved,bolt
245,基本地,basically,basically,bent,bombard
246,基本的,basic,basic,besiege,bomber
247,低音樂器,bass,bass,betray,bondage
248,雜種,bastard,bastard,beverage,bonus
249,一批,batch,batch,beware,booking
250,一大批物品,battalion,battalion,bewilder,boom
251,擊球員,batter,batter,bias,boost
252,戰場,battlefield,battlefield,bibliography,booth
253,廉價商店,bazaar,bazaar,bilateral,boredom
254,忍耐,bearing,bearing,binding,borough
255,被打擊的,beaten,beaten,binoculars,borrowing
256,打;心臟的跳動,beating,beating,biochemistry,bosom
257,美化,beautify,beautify,biological,botanical
258,召喚,beckon,beckon,birdie,botany
259,嘟嘟聲,beep,beep,bitch,boulevard
260,事先,beforehand,beforehand,bizarre,bound
261,代表某人,behalf,behalf,blacksmith,boundary
262,所有物,belongings,belongings,blade,bout
263,親愛的,beloved,beloved,bland,bowel
264,彎曲的,bent,bent,blare,bowler
265,包圍,besiege,besiege,blast,boxer
266,背叛,betray,betray,blaze,boxing
267,飲料,beverage,beverage,bleach,boyhood
268,當心,beware,beware,bleak,brace
269,使手足無措,bewilder,bewilder,blizzard,bracket
270,成見,bias,bias,bloc,braid
271,書目,bibliography,bibliography,blockade,brand-new
272,雙邊的,bilateral,bilateral,blonde,brassiere
273,有束縛力的,binding,binding,blot,breach
274,雙目的,binoculars,binoculars,blues,breadth
275,生化學,biochemistry,biochemistry,blunder,breakdown
276,生物學(上)的,biological,biological,blunt,break-in
277,小鳥,birdie,birdie,blur,breakthrough
278,母狗,bitch,bitch,bob,break-up
279,希奇古怪的,bizarre,bizarre,bodily,breeder
280,鐵匠,blacksmith,blacksmith,bodyguard,brew
281,葉片;刀片,blade,blade,bog,briefing
282,溫和的;不動感情的,bland,bland,boiling,briefly
283,咆哮,blare,blare,bolster,brigade
284,疾風,blast,blast,bolt,brink
285,火焰,blaze,blaze,bombard,brisk
286,漂白,bleach,bleach,bomber,brittle
287,荒涼的,bleak,bleak,bondage,broadcaster
288,雪暴,blizzard,blizzard,bonus,broadcasting
289,集團,bloc,bloc,booking,broaden
290,封鎖,blockade,blockade,boom,broadly
291,白膚金髮碧眼的,blonde,blonde,boost,brochure
292,墨漬;瑕疵,blot,blot,booth,broil
293,憂悶,blues,blues,boredom,broker
294,大錯,blunder,blunder,borough,bronze
295,不鋒利的,blunt,blunt,borrowing,brooch
296,一片模糊,blur,blur,bosom,brood
297,短髮,bob,bob,botanical,broth
298,有形的;肉體上,bodily,bodily,botany,brotherhood
299,保鑣,bodyguard,bodyguard,boulevard,brow
300,沼澤,bog,bog,bound,bruise
301,沸騰的,boiling,boiling,boundary,brute
302,墊;援助,bolster,bolster,bout,buck
303,螺栓,bolt,bolt,bowel,buckle
304,炮擊,bombard,bombard,bowler,buffer
305,轟炸機,bomber,bomber,boxer,build-up
306,束縛,bondage,bondage,boxing,bulge
307,紅利,bonus,bonus,boyhood,bulk
308,登記,booking,booking,brace,bulky
309,急速發展,boom,boom,bracket,bully
310,吹捧;促進,boost,boost,braid,bunker
311,攤子,booth,booth,brand-new,bureaucracy
312,無聊,boredom,boredom,brassiere,bureaucrat
313,一人[一家，一集團]操縱的政治團體,borough,borough,breach,burial
314,借用,borrowing,borrowing,breadth,burning
315,心胸,bosom,bosom,breakdown,bust
316,植物(學)的,botanical,botanical,break-in,bypass
317,植物學,botany,botany,breakthrough,byte
318,林蔭路,boulevard,boulevard,break-up,cactus
319,界限,bound,bound,breeder,caffeine
320,邊界,boundary,boundary,brew,calcium
321,一回,bout,bout,briefing,calculated
322,腸,bowel,bowel,briefly,calf
323,投球手,bowler,bowler,brigade,calligraphy
324,拳擊家,boxer,boxer,brink,calorie
325,拳擊,boxing,boxing,brisk,campaigner
326,少年期,boyhood,boyhood,brittle,cannon
327,支柱,brace,brace,broadcaster,capability
328,托架,bracket,bracket,broadcasting,capsule
329,編織物;髮辮,braid,braid,broaden,captive
330,嶄新的,brand-new,brand-new,broadly,captivity
331,胸罩,brassiere,brassiere,brochure,carbohydrate
332,違犯,breach,breach,broil,cardboard
333,寬度,breadth,breadth,broker,cardinal
334,崩潰,breakdown,breakdown,bronze,carefree
335,闖入,break-in,break-in,brooch,caress
336,突破,breakthrough,breakthrough,brood,caretaker
337,解散,break-up,break-up,broth,caring
338,飼養人,breeder,breeder,brotherhood,carnation
339,調(飲料),brew,brew,brow,carnival
340,短暫的;簡短的,briefing,briefing,bruise,carol
341,簡短地,briefly,briefly,brute,carp
342,把…編成隊[組],brigade,brigade,buck,carrier
343,瀕臨邊緣,brink,brink,buckle,cartel
344,輕快的;(天氣)清新的,brisk,brisk,buffer,carton
345,易碎的,brittle,brittle,build-up,cashier
346,廣播電臺,broadcaster,broadcaster,bulge,casino
347,廣播,broadcasting,broadcasting,bulk,caste(
348,加寬,broaden,broaden,bulky,catastrophe
349,概括地,broadly,broadly,bully,category
350,小冊子,brochure,brochure,bunker,cater
351,大聲爭吵,broil,broil,bureaucracy,catering
352,掮客,broker,broker,bureaucrat,cathedral
353,青銅,bronze,bronze,burial,caution
354,胸針,brooch,brooch,burning,cautious
355,孵出,brood,brood,bust,cavalry
356,肉汁,broth,broth,bypass,cavity
357,兄弟情誼,brotherhood,brotherhood,byte,ceasefire
358,眉毛,brow,brow,cactus,celebrated
359,瘀傷,bruise,bruise,caffeine,celebrity
360,可惡的東西,brute,brute,calcium,celery
361,元,buck,buck,calculated,cellar
362,帶扣,buckle,buckle,calf,cello
363,緩衝,buffer,buffer,calligraphy,cell-phone
364,裝配,build-up,build-up,calorie,Celsius
365,凸出,bulge,bulge,campaigner,cemetery
366,體積,bulk,bulk,cannon,census
367,龐大的,bulky,bulky,capability,centered
368,欺侮弱者的人,bully,bully,capsule,ceramic
369,貯槽,bunker,bunker,captive,certainty
370,官僚主義,bureaucracy,bureaucracy,captivity,certify
371,官僚主義者,bureaucrat,bureaucrat,carbohydrate,chairperson
372,埋葬,burial,burial,cardboard,challenged
373,燃燒的,burning,burning,cardinal,challenger
374,胸像,bust,bust,carefree,challenging
375,繞過,bypass,bypass,caress,champagne
376,二進位元組,byte,byte,caretaker,chant
377,仙人掌,cactus,cactus,caring,chaos
378,咖啡因,caffeine,caffeine,carnation,chapel
379,鈣,calcium,calcium,carnival,chapped
380,有計劃的,calculated,calculated,carol,characterize
381,小牛,calf,calf,carp,charcoal(
382,書法,calligraphy,calligraphy,carrier,chariot
383,卡(路里),calorie,calorie,cartel,charitable
384,運動參加者,campaigner,campaigner,carton,charter
385,大炮,cannon,cannon,cashier,chartered
386,能力;容量,capability,capability,casino,chatter
387,膠囊,capsule,capsule,caste(,checkbook
388,被監禁了的,captive,captive,catastrophe,checked
389,俘虜,captivity,captivity,category,check-in
390,碳水化合物,carbohydrate,carbohydrate,cater,check-up
391,硬紙板,cardboard,cardboard,catering,chef
392,主要的;深紅色的,cardinal,cardinal,cathedral,chestnut
393,無憂無慮的,carefree,carefree,caution,chili
394,愛撫,caress,caress,cautious,chimpanzee
395,看管者,caretaker,caretaker,cavalry,chirp(
396,關心的,caring,caring,cavity,chisel
397,康乃馨,carnation,carnation,ceasefire,choir
398,狂歡,carnival,carnival,celebrated,cholesterol
399,頌歌,carol,carol,celebrity,chord
400,挑剔,carp,carp,celery,chronic
401,信差,carrier,carrier,cellar,chuck
402,挑戰書,cartel,cartel,cello,chuckle
403,紙板,carton,carton,cell-phone,chunk
404,出納員,cashier,cashier,Celsius,circuit
405,可跳舞賭博的夜總會,casino,casino,cemetery,circumference
406,世襲的)階級,caste(,caste(,census,cite
407,災禍,catastrophe,catastrophe,centered,civic
408,類別,category,category,ceramic,clam
409,供應酒菜,cater,cater,certainty,clamp
410,包辦宴席,catering,catering,certify,clan
411,大教堂,cathedral,cathedral,chairperson,clarity
412,小心,caution,caution,challenged,clasp
413,謹慎的,cautious,cautious,challenger,clause
414,騎兵隊,cavalry,cavalry,challenging,cleanse
415,腔,cavity,cavity,champagne,clean-up
416,停火,ceasefire,ceasefire,chant,clearance
417,有名的,celebrated,celebrated,chaos,clearing(
418,名人,celebrity,celebrity,chapel,clench
419,芹菜,celery,celery,chapped,clinch
420,地下煤窖,cellar,cellar,characterize,cling
421,大提琴,cello,cello,charcoal(,clinical
422,手機,cell-phone,cell-phone,chariot,clockwise
423,攝氏的,Celsius,Celsius,charitable,clone
424,墓地,cemetery,cemetery,charter,closed
425,人口[戶口，國情]普查,census,census,chartered,closure
426,位於中心的,centered,centered,chatter,clover
427,陶器的,ceramic,ceramic,checkbook,cluster
428,確定性,certainty,certainty,checked,clutch
429,證明,certify,certify,check-in,coalition
430,主席,chairperson,chairperson,check-up,coastal
431,受到質疑的,challenged,challenged,chef,coastline
432,挑戰者,challenger,challenger,chestnut,cocaine
433,挑戰的,challenging,challenging,chili,cockpit(
434,香檳,champagne,champagne,chimpanzee,cocoa
435,讚揚,chant,chant,chirp(,cocoon
436,混亂,chaos,chaos,chisel,coffin
437,小教堂,chapel,chapel,choir,coherent
438,龜裂的,chapped,chapped,cholesterol,coil
439,以…為特性,characterize,characterize,chord,coincide
440,木)炭,charcoal(,charcoal(,chronic,cola
441,〔美俚〕汽車,chariot,chariot,chuck,collaboration
442,慈善的,charitable,charitable,chuckle,collected
443,契據,charter,charter,chunk,collective
444,特許的,chartered,chartered,circuit,collector
445,瞎談,chatter,chatter,circumference,collide
446,支票簿,checkbook,checkbook,cite,collision
447,格子花的,checked,checked,civic,colloquial
448,登記住房,check-in,check-in,clam,colonel
449,檢查,check-up,check-up,clamp,colonial
450,主廚,chef,chef,clan,columnist
451,栗子,chestnut,chestnut,clarity,combat
452,乾辣椒,chili,chili,clasp,comeback
453,黑猩猩,chimpanzee,chimpanzee,clause,come-down
454,鳥的)啁啾聲,chirp(,chirp(,cleanse,comet
455,鑿子,chisel,chisel,clean-up,comma
456,合唱團,choir,choir,clearance,commemorate
457,膽固醇,cholesterol,cholesterol,clearing(,commence
458,和絃,chord,chord,clench,commend
459,慢性的,chronic,chronic,clinch,commentary
460,嘔出,chuck,chuck,cling,commentator
461,嘻嘻輕笑聲,chuckle,chuckle,clinical,commissioner
462,大塊,chunk,chunk,clockwise,commodity
463,電路,circuit,circuit,clone,commonplace
464,圓周,circumference,circumference,closed,commonwealth(
465,引用,cite,cite,closure,communal
466,公民的,civic,civic,clover,communicative
467,蛤,clam,clam,cluster,communism
468,鉗，夾子,clamp,clamp,clutch,commute
469,黨派，小集團,clan,clan,coalition,commuter
470,明瞭；明確,clarity,clarity,coastal,compact
471,扣緊,clasp,clasp,coastline,companionship
472,條款,clause,clause,cocaine,comparable
473,把…弄清潔,cleanse,cleanse,cockpit(,compartment(
474,清掃,clean-up,clean-up,cocoa,compass
475,清除,clearance,clearance,cocoon,compassion
476,森林中的)開闢地,clearing(,clearing(,coffin,compassionate
477,握緊(拳頭)；咬緊(牙關),clench,clench,coherent,compatible
478,熱烈擁抱,clinch,clinch,coil,compel
479,依附,cling,cling,coincide,compelling
480,診所的,clinical,clinical,cola,compensate
481,順時針方向轉動的,clockwise,clockwise,collaboration,compensation
482,複製品,clone,clone,collected,competence
483,封閉著的,closed,closed,collective,competent
484,關閉，停業,closure,closure,collector,competing
485,三葉草,clover,clover,collide,compile
486,叢,cluster,cluster,collision,complement
487,抓住,clutch,clutch,colloquial,complexion
488,合併,coalition,coalition,colonel,complexity
489,沿岸的,coastal,coastal,colonial,complication
490,海岸線,coastline,coastline,columnist,comply
491,古柯鹼,cocaine,cocaine,combat,component
492,飛機上的)座艙,cockpit(,cockpit(,comeback,composite
493,可可粉,cocoa,cocoa,come-down,comprehend
494,繭,cocoon,cocoon,comet,comprehensive
495,棺材,coffin,coffin,comma,compress
496,緊密地結合著的,coherent,coherent,commemorate,comprise
497,盤繞;(一)卷,coil,coil,commence,compromise
498,與…一致,coincide,coincide,commend,compulsory
499,可樂,cola,cola,commentary,computerize
500,合作,collaboration,collaboration,commentator,computing
501,鎮定的,collected,collected,commissioner,comrade
502,集體的,collective,collective,commodity,con
503,採集者,collector,collector,commonplace,concede
504,衝突,collide,collide,commonwealth(,conceit
505,碰撞,collision,collision,communal,conceive
506,口語的,colloquial,colloquial,communicative,concentrated
507,上校,colonel,colonel,communism,conception
508,殖民(地)的,colonial,colonial,commute,concerned
509,專欄作家,columnist,columnist,commuter,concession
510,搏鬥,combat,combat,compact,concise
511,轉好;重整旗鼓,comeback,comeback,companionship,condemn
512,沒落,come-down,come-down,comparable,condemnation
513,彗星,comet,comet,compartment(,condense
514,逗號,comma,comma,compass,condom
515,紀念,commemorate,commemorate,compassion,confederation(
516,著手,commence,commence,compassionate,confer
517,褒獎;推舉,commend,commend,compatible,confession
518,評論,commentary,commentary,compel,confidential
519,時事評論員,commentator,commentator,compelling,configuration
520,專員(某些地方或機構的)長官,commissioner,commissioner,compensate,confined
521,日用品,commodity,commodity,compensation,conform
522,平凡的；陳腐的,commonplace,commonplace,competence,confusing
523,尤指)共和國,commonwealth(,commonwealth(,competent,congressional
524,群居的,communal,communal,competing,congressman
525,藏不住話的,communicative,communicative,compile,connected
526,共產主義,communism,communism,complement,conquest
527,通勤,commute,commute,complexion,conscientious
528,通勤者,commuter,commuter,complexity,consciousness
529,緊密的;隨身攜帶的粉盒,compact,compact,complication,consecutive
530,同伴情誼,companionship,companionship,comply,consensus(
531,可相比的,comparable,comparable,component,consent
532,小)室,compartment(,compartment(,composite,conservation
533,羅盤,compass,compass,comprehend,conserve
534,憐憫,compassion,compassion,comprehensive,considering
535,富於同情心的,compassionate,compassionate,compress,consolation
536,相容的,compatible,compatible,comprise,console
537,強迫,compel,compel,compromise,consolidate
538,強制性的,compelling,compelling,compulsory,consortium
539,賠償,compensate,compensate,computerize,conspicuous
540,賠償金,compensation,compensation,computing,conspiracy
541,能力,competence,competence,comrade,constable
542,有能力的,competent,competent,con,constituency
543,競爭的,competing,competing,concede,constituent
544,編輯,compile,compile,conceit,constitutional
545,補充,complement,complement,conceive,constrain
546,膚色,complexion,complexion,concentrated,constraint
547,複雜性,complexity,complexity,conception,consultation
548,錯雜,complication,complication,concerned,consuming
549,應允,comply,comply,concession,consumption
550,組成部分,component,component,concise,contagious
551,合成物,composite,composite,condemn,contaminant
552,瞭解,comprehend,comprehend,condemnation,contaminate
553,有理解力的,comprehensive,comprehensive,condense,contemplate
554,壓縮,compress,compress,condom,contemplation
555,由…組成,comprise,comprise,confederation(,contempt
556,妥協,compromise,compromise,confer,contend
557,強迫的,compulsory,compulsory,confession,contender
558,電腦化,computerize,computerize,confidential,contention
559,計算,computing,computing,configuration,contentment
560,同志；夥伴,comrade,comrade,confined,contestant
561,囚犯(＝convict),con,con,conform,contingent
562,讓與,concede,concede,confusing,continuity
563,自負,conceit,conceit,congressional,contractor
564,懷(胎);抱有(思想),conceive,conceive,congressman,contradict
565,聚精會神的,concentrated,concentrated,connected,contradiction
566,受孕;概念,conception,conception,conquest,contradictory
567,憂慮的;有關的,concerned,concerned,conscientious,contributor
568,讓步,concession,concession,consciousness,contrive
569,簡明扼要的,concise,concise,consecutive,controller
570,譴責,condemn,condemn,consensus(,controversial(
571,非難的理由,condemnation,condemnation,consent,controversy
572,濃縮,condense,condense,conservation,convene
573,保險套,condom,condom,conserve,converge
574,特指)邦聯,confederation(,confederation(,considering,conversely
575,授與;協商,confer,confer,consolation,conversion
576,坦白,confession,confession,console,convert
577,機密的,confidential,confidential,consolidate,convertible
578,配置;結構,configuration,configuration,consortium,convict
579,被禁閉著的,confined,confined,conspicuous,conviction
580,遵照,conform,conform,conspiracy,convinced
581,令人混淆的,confusing,confusing,constable,convincing
582,委員會的,congressional,congressional,constituency,convoy
583,國會議員,congressman,congressman,constituent,co-operation
584,連接的；聯繫著的；連續[貫]的,connected,connected,constitutional,co-ordinate
585,征服,conquest,conquest,constrain,cop
586,有良心的,conscientious,conscientious,constraint,copyright
587,知覺,consciousness,consciousness,consultation,coral
588,連貫的,consecutive,consecutive,consuming,cordial
589,意見等的)一致,consensus(,consensus(,consumption,cordially
590,同意,consent,consent,contagious,core
591,保存,conservation,conservation,contaminant,cork
592,保存,conserve,conserve,contaminate,corp
593,就…而論,considering,considering,contemplate,corporation
594,安慰,consolation,consolation,contemplation,corporate
595,控制台,console,console,contempt,corps
596,鞏固,consolidate,consolidate,contend,corpse
597,共同體,consortium,consortium,contender,correction
